name,tok,vocab,data_scale,seed,test_bleu,test_chrf,best_val_loss,src_vocab,tgt_vocab,nan_batches,epochs_to_best,max_grad_norm,seconds
word-16k@10000,word,16000,10000,42,0.0725899253896669,5.259880079796473,6.1085239533455145,16000,16000,0,20,2.933845996856689,1444.2
bpe-2000@10000,bpe,2000,10000,42,1.7885343776063505,17.638083252642655,4.68019930008919,2000,2000,0,25,1.8653783798217771,1056.6
bpe-4000@10000,bpe,4000,10000,42,1.5964474514904996,15.831363146613112,5.347476143990794,4000,4000,0,30,2.384845495223999,1106.2
bpe-8000@10000,bpe,8000,10000,42,1.3008778792323918,15.982546945736246,5.944962393852972,8000,8000,0,30,10.06555461883545,1214.4
word-16k@ALL,word,16000,ALL,42,0.6458592649441267,9.471319104770615,5.305454930951519,16000,16000,0,12,3.0865612030029297,9115.5
bpe-2000@ALL,bpe,2000,ALL,42,4.28235797741953,23.80713048968445,3.92861912327428,2000,2000,0,20,2.0789501667022705,6609.6
bpe-4000@ALL,bpe,4000,ALL,42,4.187946946181323,23.87549481045531,4.424233821130568,4000,4000,0,20,2.3449180126190186,6944.3
